oid,NZGD ID,NZTM Easting,NZTM Northing,year
CPT-BKM-31,226.0,1571333.15,5176372.66,2011
CPT-BRY-01,245.0,1575099.77,5180935.51,2011
CPT-BRY-03,247.0,1574650.64,5180807.19,2011
CPT-BRY-05,249.0,1574415.6,5180393.63,2011
CPT-BRY-08,252.0,1575352.16,5179983.17,2011
CPT-BRY-10,253.0,1574862.21,5179357.01,2011
CPT-BRY-11,254.0,1574761.12,5179288.4,2011
CPT-BRY-12,255.0,1575270.06,5179058.91,2011
CPT-BRY-13,256.0,1574789.11,5178963.12,2011
CPT-BRY-15,258.0,1574497.12,5179565.39,2011
CPT-BRY-16,259.0,1574370.84,5179548.14,2011
CPT-BRY-18,261.0,1574275.08,5179602.78,2011
CPT-BRY-20,262.0,1574823.12,5179753.75,2011
CPT-BRY-21,263.0,1575010.18,5180125.91,2011
CPT-BRY-22,264.0,1574270.4,5180022.22,2011
CPT-BUR-101,352.0,1574466.75,5185374.58,2011
CPT-BUR-102,353.0,1574300.33,5184806.63,2011
CPT-BUR-104,355.0,1574096.77,5185337.38,2011
CPT-BUR-105,356.0,1574385.43,5184517.99,2011
CPT-BUR-70,321.0,1575784.23,5183593.47,2011
CPT-BUR-71,322.0,1575538.18,5183572.75,2011
CPT-BUR-72,323.0,1575344.46,5183567.43,2011
CPT-BUR-73,324.0,1575130.44,5183503.26,2011
CPT-BUR-77,328.0,1575532.35,5183676.47,2011
CPT-BUR-78,329.0,1575774.25,5183853.41,2011
CPT-BUR-79,330.0,1575778.78,5184023.16,2011
CPT-BUR-80,331.0,1575624.82,5184243.29,2011
CPT-BUR-81,332.0,1575585.49,5183996.63,2011
CPT-BUR-82,333.0,1575436.47,5184220.2,2011
CPT-BUR-84,335.0,1575100.69,5184273.27,2011
CPT-BUR-88,339.0,1574946.49,5183785.81,2011
CPT-BUR-93,344.0,1575256.58,5184542.78,2011
CPT-BUR-96,347.0,1574561.45,5185105.09,2011
CPT-BUR-99,350.0,1574600.95,5184905.76,2011
CPT-BYR-01,357.0,1567936.1,5183178.26,2011
CPT-CBD-04,375.0,1570596.81,5181259.24,2011
CPT-CBD-07,379.0,1571314.42,5181280.4,2011
CPT-CBD-10,383.0,1569845.16,5181033.14,2011
